[1 -> 1]: 2
[3 -> 2]: hello how are you bro
[2 -> 3]: ya bro whatsapp
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
[2 -> 1]: ff
